2615094,1348
3503263,1238
513846,1189
737120,1423
3244756,1082
1991928,1314
798015,1236
2583510,1440
1893664,1057
1028371,1376
349164,1443
3210356,1117
3175046,1238
3217724,1202
3379534,1191
2490962,1016
119,1482
2494074,1088
3241487,1138
2351951,1248
1839695,1205
3308199,1276
2732261,1435
2962803,1435
934469,1198
912851,1396
119,1217
3374155,1392
2574018,1057
1385313,1395
2210863,1119
812380,1340
3179824,1387
64244,1446
1959712,1388
994935,1127
2522747,1020
304949,1292
55828,1169
2356312,1477
2097298,1290
1489052,1488
1636076,1243
2898870,1306
3437103,1066
119,1076
3099347,1083
3361015,1397
1835777,1188
124373,1384
437954,1405
1447864,1200
2383536,1337
1547444,1093
2514211,1033
2549436,1387
3151238,1442
1432824,1025
1050335,1441
3348651,1239
551992,1228
2888121,1222
245860,1212
1886411,1216
1927028,1340
1237286,1137
148294,1319
3459602,1421
3169568,1225
1225388,1210
1303088,1458
2098386,1436
284446,1197
2624366,1069
554126,1475
2115304,1132
1944570,1301
2349547,1304
1535258,1432
360209,1148
2412392,1204
2404587,1466
8245,1355
1765362,1430
3243610,1164
120,1385
266184,1452
3117377,1286
2060251,1222
3525795,1007
120,1162
3051172,1034
1107211,1381
2772445,1127
534218,1071
843043,1028
611583,1429
602472,1169
2677539,1152
87326,1113
220098,1078
2635025,1459
3552731,1227
1724917,1377
1808678,1326
3218141,1374
610085,1437
1523341,1219
714452,1312
1536845,1456
2047261,1277
2124861,1307
2057743,1272
2407976,1473
2540628,1473
407057,1456
225780,1177
1752109,1298
1006770,1455
3462991,1157
841623,1396
2263726,1266
1248816,1008
2018901,1004
1091816,1040
1982505,1328
1326320,1143
2724169,1144
1853464,1255
3381482,1014
3305711,1320
289037,1338
916493,1495
783216,1066
1757065,1154
182420,1381
505676,1021
2125875,1016
1648654,1202
3229889,1215
1687626,1491
120,1117
2190746,1218
224218,1118
389145,1471
1347105,1280
3285310,1322
1312487,1023
1473013,1183
693852,1262
1654557,1404
851473,1302
2043444,1003
3135972,1305
3232989,1370
1311243,1030
2438645,1390
971601,1074
2727535,1400
249840,1019
2581540,1182
1378583,1134
2530288,1232
77760,1009
58653,1075
2132547,1499
164438,1398
2090804,1047
2026159,1179
42640,1085
55835,1026
2665739,1479
2965849,1477
2937957,1057
907423,1099
1653978,1183
1309834,1308
3295410,1392
1245341,1336
3549933,1446
221638,1424
2882216,1024
2871578,1013
1960079,1388
2302606,1305
361657,1106
1532451,1275
743116,1025
923224,1214
2545207,1047
737939,1476
2101602,1252
2160867,1210
604688,1431
2295938,1193
2890256,1180
1739044,1492
1857273,1140
120,1247
2118129,1367
1550739,1149
84415,1271
2898670,1486
338965,1083
1647065,1438
2111984,1053
1027537,1250
3131648,1416
582836,1251
1112668,1434
4835,1438
1065017,1436
939763,1264
2875894,1068
3317529,1267
1399702,1055
2063887,1360
2539258,1005
1867390,1206
743415,1300
1450731,1087
3454812,1104
68613,1096
1918227,1161
707327,1499
752367,1166
2104283,1118
1841764,1375
120,1347
2675793,1117
2195883,1152
1981860,1306
2214280,1348
2602333,1217
1784985,1097
1659145,1045
638223,1477
1315503,1040
2519109,1173
1107824,1448
564795,1318
2304874,1478
1375089,1212
3377030,1396
2158994,1391
3170576,1289
120,1117
2356034,1431
2697693,1001
2288116,1202
2688940,1049
