4	5247	274	274
578	1672	502	502
94	6623	359	359
532	2373	800	800
64	1007	5	5
423	3064	376	376
376	6361	938	938
973	3321	814	814
469	1100	9	9
158	3137	492	492
308	2386	58	58
526	8014	387	387
954	9494	969	969
774	4484	8	8
130	2826	410	410
321	9658	384	384
230	5190	2	2
290	2740	58	58
252	471	63	63
898	678	508	508
470	8293	348	348
11	5996	73	73
16	1502	54	54
16	9456	5	5
74	9057	691	691
751	5685	273	273
417	3599	11	11
207	9404	64	64
304	5176	274	274
414	8126	422	422
524	7777	196	196
752	2296	148	148
2	6676	1	1
55	5872	283	283
360	1882	501	501
629	9076	579	579
133	2970	141	141
64	2250	314	314
661	4518	36	36
660	4009	276	276
504	996	823	823
148	4061	85	85
252	1149	2	2
532	2682	698	698
539	9198	626	626
797	6452	752	752
127	1086	214	214
297	4099	800	800
54	7026	557	557
394	139	126	126
226	4542	210	210
410	2879	251	251
203	5722	453	453
270	1486	266	266
407	5627	438	438
173	4645	223	223
198	5765	134	134
251	361	672	672
526	2098	511	511
402	8229	387	387
195	971	609	609
195	5693	119	119
85	7517	78	78
261	2637	11	11
94	7115	70	70
254	5477	729	729
276	856	335	335
723	4260	692	692
220	8787	149	149
801	8135	609	609
71	4296	81	81
908	7677	969	969
331	9246	866	866
601	2687	245	245
314	411	783	783
532	6113	252	252
332	3505	777	777
70	763	695	695
180	1092	235	235
761	6809	751	751
526	7794	398	398
953	6185	78	78
26	7159	316	316
1	9498	48	48
282	3385	289	289
953	282	142	142
116	298	735	735
242	1114	301	301
313	361	456	456
835	8257	27	27
876	5000	251	251
42	1088	26	26
160	3654	222	222
261	1240	285	285
408	5906	535	535
446	336	789	789
564	7003	33	33
644	5291	880	880
770	6166	942	942
11	8415	23	23
376	182	164	164
297	4263	377	377
564	6224	570	570
783	5976	957	957
320	158	344	344
269	1587	5	5
579	4439	204	204
961	5679	813	813
226	9857	179	179
876	5831	4	4
714	5811	839	839
484	8235	417	417
605	7096	32	32
2	9995	164	164
766	2491	331	331
282	9953	259	259
461	9506	571	571
32	605	695	695
453	2849	383	383
994	1550	991	991
64	1541	314	314
206	7979	737	737
188	2396	191	191
320	1776	314	314
241	4238	211	211
5	8920	51	51
94	2572	220	220
664	2153	501	501
259	867	401	401
26	5793	203	203
182	565	619	619
891	8865	770	770
183	2291	380	380
9	6052	352	352
914	4417	726	726
391	4677	398	398
314	4310	438	438
258	798	23	23
234	8619	157	157
1	257	2	2
376	1749	417	417
82	8566	283	283
266	3262	329	329
157	2518	504	504
54	1631	289	289
105	6511	255	255
526	1869	761	761
782	8197	234	234
300	3811	285	285
456	6183	710	710
137	6019	195	195
430	1477	203	203
703	6471	144	144
5	7664	199	199
814	379	946	946
661	3435	127	127
161	5665	157	157
508	5204	533	533
269	3811	290	290
517	7218	519	519
283	3852	48	48
807	600	50	50
1	6117	63	63
551	5698	550	550
196	9960	269	269
463	3549	461	461
704	7711	696	696
908	573	798	798
101	6874	102	102
219	130	134	134
963	1821	85	85
633	595	276	276
57	3619	805	805
415	4881	430	430
585	9158	241	241
204	2805	189	189
266	8056	1	1
598	9059	813	813
504	2962	619	619
892	902	648	648
484	2905	380	380
762	6875	512	512
636	4629	127	127
203	2110	101	101
57	9038	19	19
859	4686	828	828
851	8767	609	609
644	6933	17	17
241	5062	203	203
42	2980	36	36
347	4933	363	363
862	8040	918	918
711	2153	213	213
4	3762	766	766
383	4060	453	453
141	8819	158	158
35	2649	89	89
110	5146	324	324
377	3432	262	262
627	1553	636	636
783	4106	782	782
820	189	324	324
957	9022	839	839
195	2243	289	289
64	7225	446	446
213	4586	612	612
759	8401	571	571
141	4204	26	26
64	180	11	11
94	3587	219	219
476	5197	539	539
104	2137	571	571
214	9208	98	98
407	4033	695	695
35	4220	42	42
535	3710	35	35
86	9564	226	226
816	286	976	976
785	242	729	729
219	3371	86	86
307	6554	277	277
523	8520	939	939
536	2184	926	926
673	3086	915	915
550	9559	570	570
39	8020	665	665
363	1137	418	418
782	9981	63	63
33	7938	298	298
126	6396	445	445
570	3363	602	602
407	4287	196	196
226	7664	168	168
82	3329	127	127
204	9964	66	66
879	9103	938	938
331	5098	766	766
304	9147	547	547
636	4781	192	192
258	3946	384	384
161	9391	158	158
523	8454	641	641
410	1504	479	479
504	9367	563	563
214	9635	211	211
634	3385	945	945
792	4108	960	960
252	1987	5	5
323	7617	4	4
410	3924	160	160
129	1163	35	35
142	4057	127	127
629	8451	754	754
535	9929	532	532
219	1669	157	157
689	681	105	105
88	3549	612	612
95	5692	97	97
219	4862	203	203
94	6868	35	35
252	7749	1	1
204	7039	210	210
58	1461	51	51
16	3624	66	66
345	9306	157	157
320	3584	813	813
820	5383	657	657
168	1046	51	51
476	8631	102	102
540	754	636	636
78	4148	64	64
417	790	722	722
329	3361	51	51
386	1771	907	907
682	4628	679	679
501	6940	517	517
16	9976	1	1
145	825	644	644
751	5080	2	2
516	6030	526	526
594	5242	726	726
376	8274	4	4
134	8498	40	40
66	852	277	277
616	933	351	351
586	3815	57	57
563	7409	74	74
1	5625	136	136
801	9720	917	917
2	7645	129	129
4	8870	74	74
761	1129	535	535
438	2050	630	630
627	9994	911	911
16	3866	516	516
255	3868	35	35
78	9987	16	16
418	9818	73	73
26	7512	286	286
613	2866	363	363
660	3803	136	136
329	9849	94	94
573	347	597	597
203	4139	175	175
408	21	907	907
985	1575	563	563
658	9682	917	917
282	8410	300	300
838	324	862	862
751	5818	766	766
582	7917	505	505
469	1188	908	908
679	7858	126	126
64	3919	751	751
519	4805	141	141
11	7385	4	4
446	9020	383	383
519	1609	754	754
658	4862	723	723
945	6057	898	898
891	4322	894	894
884	5261	277	277
50	5374	94	94
320	2358	23	23
595	1883	860	860
386	4144	379	379
601	6047	188	188
42	1704	761	761
175	8865	214	214
923	6939	255	255
274	2949	9	9
17	6663	151	151
198	9364	167	167
141	9666	648	648
532	2146	539	539
269	3378	23	23
113	5565	595	595
335	7252	329	329
844	9232	9	9
64	9480	17	17
137	9318	509	509
629	775	4	4
769	3895	505	505
380	5354	391	391
379	3739	422	422
751	8292	8	8
441	4131	464	464
149	7728	649	649
547	8788	274	274
523	7452	24	24
758	8381	887	887
891	5741	422	422
588	9180	776	776
51	916	504	504
790	7092	852	852
616	96	85	85
314	2781	81	81
101	4270	516	516
532	3210	380	380
792	6876	601	601
657	2760	547	547
581	6770	595	595
352	9118	105	105
102	8441	220	220
110	6559	33	33
977	2838	869	869
234	6750	285	285
953	7945	847	847
441	9143	505	505
35	7054	4	4
938	2888	883	883
192	5312	127	127
161	5739	629	629
276	4360	495	495
70	3267	8	8
16	4554	81	81
293	1956	289	289
941	4592	206	206
259	424	314	314
5	6344	633	633
752	9252	755	755
136	5877	151	151
789	9519	320	320
448	5634	573	573
199	9904	726	726
820	880	258	258
226	2369	425	425
189	1317	698	698
12	2783	432	432
2	4595	19	19
847	7221	800	800
